id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
1399,zrušit,гл.,сов.,,B1,Действия и процедуры,отменить,скасувати,to cancel,,,,Zrušil jsem rezervaci.,Я отменил бронь.,Я скасував бронювання.,Schůzka se ruší.,Встреча отменяется.,Зустріч скасовується.
1400,zúčastnit se,гл.,сов.,,B1,Действия и процедуры,принять участие,взяти участь,to take part,,,,Zúčastnil jsem se kurzu.,Я принял участие в курсе.,Я взяв участь у курсі.,Chci se zúčastnit soutěže.,Я хочу принять участие в конкурсе.,Я хочу взяти участь у конкурсі.
1401,cizinecká policie,сущ.,ж.р.,cizinecké policie,B1,Документы и госучреждения,миграционная полиция,міграційна поліція,foreign police,Ключевое место для мигрантов,policestation,https://loremflickr.com/640/480/policestation,Musím na cizineckou policii.,Мне нужно в миграционную полицию.,Мені треба до міграційної поліції.,Cizinecká policie mě pozvala.,Миграционная полиция меня вызвала.,Міграційна поліція мене викликала.
1402,čekárna,сущ.,ж.р.,čekárny,B1,Документы и госучреждения,зал ожидания,зал очікування,waiting room,,waitingroom,https://loremflickr.com/640/480/waitingroom,Počkejte v čekárně.,Подождите в зале ожидания.,Зачекайте в залі очікування.,Čekárna byla plná.,Зал ожидания был полон.,Зала очікування була повна.
1403,daň,сущ.,ж.р.,daně,B1,Документы и госучреждения,налог,податок,tax,,tax,https://loremflickr.com/640/480/tax,Platím daně každý rok.,Я плачу налоги каждый год.,Я плачу податки щороку.,Daň z příjmu je patnáct procent.,Подоходный налог пятнадцать процентов.,Податок на доходи п'ятнадцять відсотків.
1404,doklad,сущ.,м.р.,dokladu,B1,Документы и госучреждения,документ,документ,document,,document,https://loremflickr.com/640/480/document,"Ukažte mi doklady, prosím.","Покажите документы, пожалуйста.","Покажіть документи, будь ласка.",Ztratil jsem doklady.,Я потерял документы.,Я загубив документи.
1405,dotaz,сущ.,м.р.,dotazu,B1,Документы и госучреждения,запрос; вопрос,запит,query; question,,,,Mám jeden dotaz.,У меня один вопрос.,У мене одне питання.,Poslal jsem dotaz e-mailem.,Я отправил запрос по почте.,Я надіслав запит поштою.
1406,formulář,сущ.,м.р.,formuláře,B1,Документы и госучреждения,бланк; форма,бланк,form,,"form,paperwork","https://loremflickr.com/640/480/form,paperwork",Vyplňte tento formulář.,Заполните эту анкету.,Заповніть цю анкету.,Formulář je online.,Анкета онлайн.,Анкета онлайн.
1407,lhůta,сущ.,ж.р.,lhůty,B1,Документы и госучреждения,срок,термін,deadline; time limit,,deadline,https://loremflickr.com/640/480/deadline,Lhůta je třicet dní.,Срок — тридцать дней.,Термін — тридцять днів.,Nestihl jsem lhůtu.,Я не успел в срок.,Я не встиг у термін.
1408,návod,сущ.,м.р.,návodu,B1,Документы и госучреждения,инструкция,інструкція,instructions; manual,,manual,https://loremflickr.com/640/480/manual,Přečti si návod.,Прочитай инструкцию.,Прочитай інструкцію.,Návod je jen v češtině.,Инструкция только на чешском.,Інструкція лише чеською.
1409,notář,сущ.,м.р.,notáře,B1,Документы и госучреждения,нотариус,нотаріус,notary,,notary,https://loremflickr.com/640/480/notary,Byl jsem u notáře.,Я был у нотариуса.,Я був у нотаріуса.,Notář to musí ověřit.,Нотариус должен это заверить.,Нотаріус має це засвідчити.
1410,občan,сущ.,м.р.,občana,B1,Документы и госучреждения,гражданин,громадянин,citizen,,citizen,https://loremflickr.com/640/480/citizen,Jsem občan Ukrajiny.,Я гражданин Украины.,Я громадянин України.,Občané mají právo volit.,Граждане имеют право голосовать.,Громадяни мають право голосувати.
1411,občanství,сущ.,ср.р.,občanství,B1,Документы и госучреждения,гражданство,громадянство,citizenship,,"citizenship,passport","https://loremflickr.com/640/480/citizenship,passport",Žádám o občanství.,Я подаю на гражданство.,Я подаю на громадянство.,Má dvojí občanství.,У него двойное гражданство.,У нього подвійне громадянство.
1412,objednat se,гл.,сов.,,B1,Документы и госучреждения,записаться (на приём),записатися,to make an appointment,,,,Objednal jsem se k lékaři.,Я записался к врачу.,Я записався до лікаря.,Musíte se objednat předem.,Вам нужно записаться заранее.,Вам треба записатися заздалегідь.
1413,originál,сущ.,м.р.,originálu,B1,Документы и госучреждения,оригинал,оригінал,original,,"original,document","https://loremflickr.com/640/480/original,document",Přineste originál dokumentu.,Принесите оригинал документа.,Принесіть оригінал документа.,Originál si nechte.,Оригинал оставьте себе.,Оригінал залиште собі.
